source,unit,value,count,ratio
tokenized_pedal1,tokens,126,9875,0.003304207234524097
tokenized_pedal1,tokens,127,1073352,0.3591470828952819
tokenized_pedal2,tokens,0,748763,0.2505385439538194
tokenized_pedal2,tokens,1,0,0.0
tokenized_pedal2,tokens,2,0,0.0
tokenized_pedal2,tokens,3,0,0.0
tokenized_pedal2,tokens,4,0,0.0
tokenized_pedal2,tokens,5,0,0.0
tokenized_pedal2,tokens,6,0,0.0
tokenized_pedal2,tokens,7,0,0.0
tokenized_pedal2,tokens,8,2284,0.0007642338555598013
tokenized_pedal2,tokens,9,2446,0.0008184395843692093
tokenized_pedal2,tokens,10,3534,0.0011824879358793073
tokenized_pedal2,tokens,11,2815,0.0009419081888795275
tokenized_pedal2,tokens,12,2645,0.0008850256339560746
tokenized_pedal2,tokens,13,2808,0.0009395659660297383
tokenized_pedal2,tokens,14,2052,0.000686605898252501
tokenized_pedal2,tokens,15,3004,0.0010051482058238367
tokenized_pedal2,tokens,16,3584,0.0011992180990920876
tokenized_pedal2,tokens,17,3651,0.001221636517797213
tokenized_pedal2,tokens,18,3557,0.0011901838109571862
tokenized_pedal2,tokens,19,3540,0.0011844955554648408
tokenized_pedal2,tokens,20,3847,0.0012872187575913116
tokenized_pedal2,tokens,21,3880,0.0012982606653117465
tokenized_pedal2,tokens,22,4103,0.0013728771932407463
tokenized_pedal2,tokens,23,4159,0.0013916149760390603
tokenized_pedal2,tokens,24,4358,0.0014582010256259255
tokenized_pedal2,tokens,25,4049,0.0013548086169709436
tokenized_pedal2,tokens,26,4558,0.0015251216784770466
tokenized_pedal2,tokens,27,4765,0.0015943845541779567
tokenized_pedal2,tokens,28,5200,0.0017399369741291448
tokenized_pedal2,tokens,29,5674,0.0018985389213863014
tokenized_pedal2,tokens,30,5687,0.0019028887638216244
tokenized_pedal2,tokens,31,5389,0.001803176991073454
tokenized_pedal2,tokens,32,6425,0.0021498259728422605
tokenized_pedal2,tokens,33,5764,0.001928653215169306
tokenized_pedal2,tokens,34,6534,0.0021862977286461215
tokenized_pedal2,tokens,35,6390,0.0021381148585933145
tokenized_pedal2,tokens,36,7276,0.0024345733507237805
tokenized_pedal2,tokens,37,7103,0.0023766869860075606
tokenized_pedal2,tokens,38,7216,0.002414497154868444
tokenized_pedal2,tokens,39,7471,0.0024998209872536233
tokenized_pedal2,tokens,40,8059,0.002696567706635919
tokenized_pedal2,tokens,41,8284,0.00277185344109343
tokenized_pedal2,tokens,42,8394,0.0028086598001615466
tokenized_pedal2,tokens,43,8492,0.002841450920058596
tokenized_pedal2,tokens,44,8881,0.002971611589854026
tokenized_pedal2,tokens,45,8985,0.003006410329336609
tokenized_pedal2,tokens,46,9595,0.003210518320532528
tokenized_pedal2,tokens,47,9728,0.003255020554678523
tokenized_pedal2,tokens,48,10057,0.003365105028618617
tokenized_pedal2,tokens,49,10133,0.003390534876702043
tokenized_pedal2,tokens,50,10971,0.00367093241214824
tokenized_pedal2,tokens,51,10991,0.003677624477433352
tokenized_pedal2,tokens,52,11958,0.004001185833968522
tokenized_pedal2,tokens,53,12058,0.004034646160394082
tokenized_pedal2,tokens,54,13089,0.004379622125841611
tokenized_pedal2,tokens,55,13250,0.004433493251386763
tokenized_pedal2,tokens,56,14029,0.004694149194241879
tokenized_pedal2,tokens,57,14400,0.004818287005280709
tokenized_pedal2,tokens,58,15141,0.005066228024094112
tokenized_pedal2,tokens,59,16369,0.005477120832599994
tokenized_pedal2,tokens,60,17962,0.0060101438325591726
tokenized_pedal2,tokens,61,19295,0.006456169983811894
tokenized_pedal2,tokens,62,20732,0.006936994874547198
tokenized_pedal2,tokens,63,23137,0.007741715725081927
tokenized_pedal2,tokens,64,24885,0.008326602231000724
tokenized_pedal2,tokens,65,22959,0.00768215634404443
tokenized_pedal2,tokens,66,21151,0.007077193642270297
tokenized_pedal2,tokens,67,20022,0.006699426556925719
tokenized_pedal2,tokens,68,18568,0.00621291341069807
tokenized_pedal2,tokens,69,17746,0.005937869527479963
tokenized_pedal2,tokens,70,17270,0.0057785983736942945
tokenized_pedal2,tokens,71,16822,0.005628696111307783
tokenized_pedal2,tokens,72,16631,0.005564786887834963
tokenized_pedal2,tokens,73,16315,0.005459052256330192
tokenized_pedal2,tokens,74,15865,0.0053084807874151695
tokenized_pedal2,tokens,75,15870,0.005310153803736448
tokenized_pedal2,tokens,76,15957,0.005339264287726685
tokenized_pedal2,tokens,77,15862,0.0053074769776224025
tokenized_pedal2,tokens,78,15785,0.005281712526274722
tokenized_pedal2,tokens,79,15781,0.005280374113217699
tokenized_pedal2,tokens,80,15111,0.005056189926166444
tokenized_pedal2,tokens,81,15709,0.005256282678191295
tokenized_pedal2,tokens,82,15085,0.005047490241295798
tokenized_pedal2,tokens,83,15413,0.005157240111971636
tokenized_pedal2,tokens,84,14585,0.004880188609167995
tokenized_pedal2,tokens,85,14175,0.004743001270823197
tokenized_pedal2,tokens,86,14429,0.004827990499944122
tokenized_pedal2,tokens,87,14307,0.004787168901704938
tokenized_pedal2,tokens,88,13219,0.004423120550194839
tokenized_pedal2,tokens,89,12139,0.004061749024798786
tokenized_pedal2,tokens,90,12875,0.004308017027290912
tokenized_pedal2,tokens,91,12658,0.004235408118947445
tokenized_pedal2,tokens,92,11754,0.003932926768060378
tokenized_pedal2,tokens,93,11527,0.0038569718270743563
tokenized_pedal2,tokens,94,11493,0.0038455953160896656
tokenized_pedal2,tokens,95,11352,0.0037984162558296255
tokenized_pedal2,tokens,96,11209,0.003750567989041074
tokenized_pedal2,tokens,97,9611,0.0032158719727606176
tokenized_pedal2,tokens,98,10178,0.0034055920235935453
tokenized_pedal2,tokens,99,9286,0.0031071259118775458
tokenized_pedal2,tokens,100,9413,0.003149620526438008
tokenized_pedal2,tokens,101,8826,0.002953208410319968
tokenized_pedal2,tokens,102,8447,0.0028263937731670937
tokenized_pedal2,tokens,103,8055,0.0026952292935788964
tokenized_pedal2,tokens,104,8164,0.0027317010493827574
tokenized_pedal2,tokens,105,7768,0.002599198156737538
tokenized_pedal2,tokens,106,7459,0.0024958057480825558
tokenized_pedal2,tokens,107,7364,0.0024640184379782736
tokenized_pedal2,tokens,108,6818,0.0022813250556947134
tokenized_pedal2,tokens,109,6488,0.0021709059784903637
tokenized_pedal2,tokens,110,6390,0.0021381148585933145
tokenized_pedal2,tokens,111,5895,0.00197248624278679
tokenized_pedal2,tokens,112,5756,0.0019259763890552611
tokenized_pedal2,tokens,113,5284,0.0017680436483266157
tokenized_pedal2,tokens,114,4899,0.0016392213915882078
tokenized_pedal2,tokens,115,4817,0.0016117839239192483
tokenized_pedal2,tokens,116,4585,0.001534155966611948
tokenized_pedal2,tokens,117,4115,0.0013768924324118136
tokenized_pedal2,tokens,118,4252,0.0014227330796148315
tokenized_pedal2,tokens,119,4214,0.0014100181555731185
tokenized_pedal2,tokens,120,2994,0.0010018021731812807
tokenized_pedal2,tokens,121,3495,0.0011694384085733386
tokenized_pedal2,tokens,122,3055,0.0010222129723008726
tokenized_pedal2,tokens,123,2729,0.0009131323081535454
tokenized_pedal2,tokens,124,11395,0.0038128041961926163
tokenized_pedal2,tokens,125,10671,0.0035705514328715584
tokenized_pedal2,tokens,126,9726,0.003254351348150012
tokenized_pedal2,tokens,127,1073415,0.35916816290093
tokenized_pedal3,tokens,0,740383,0.24773456859935744
tokenized_pedal3,tokens,1,0,0.0
tokenized_pedal3,tokens,2,0,0.0
tokenized_pedal3,tokens,3,0,0.0
tokenized_pedal3,tokens,4,0,0.0
tokenized_pedal3,tokens,5,0,0.0
tokenized_pedal3,tokens,6,0,0.0
tokenized_pedal3,tokens,7,0,0.0
tokenized_pedal3,tokens,8,2243,0.0007505151217253215
tokenized_pedal3,tokens,9,2445,0.0008181049811049536
tokenized_pedal3,tokens,10,3543,0.0011854993652576078
tokenized_pedal3,tokens,11,2787,0.0009325392974803705
tokenized_pedal3,tokens,12,2583,0.0008642802315722271
tokenized_pedal3,tokens,13,2760,0.0009235050093454692
tokenized_pedal3,tokens,14,1937,0.0006481265228631064
tokenized_pedal3,tokens,15,2896,0.0009690110532842314
tokenized_pedal3,tokens,16,3511,0.0011747920608014284
tokenized_pedal3,tokens,17,3630,0.0012146098492478454
tokenized_pedal3,tokens,18,3514,0.0011757958705941951
tokenized_pedal3,tokens,19,3394,0.0011356434788835227
tokenized_pedal3,tokens,20,3691,0.0012350206483674373
tokenized_pedal3,tokens,21,3840,0.0012848765347415222
tokenized_pedal3,tokens,22,4048,0.0013544740137066882
tokenized_pedal3,tokens,23,4054,0.0013564816332922217
tokenized_pedal3,tokens,24,4317,0.0014444822917914458
tokenized_pedal3,tokens,25,4013,0.001342762899457742
tokenized_pedal3,tokens,26,4550,0.0015224448523630018
tokenized_pedal3,tokens,27,4667,0.0015615934342809075
tokenized_pedal3,tokens,28,5037,0.0016853966420554813
tokenized_pedal3,tokens,29,5554,0.001858386529675629
tokenized_pedal3,tokens,30,5600,0.0018737782798313868
tokenized_pedal3,tokens,31,5243,0.001754324914492136
tokenized_pedal3,tokens,32,6182,0.0020685173796281485
tokenized_pedal3,tokens,33,5554,0.001858386529675629
tokenized_pedal3,tokens,34,6457,0.00216053327729844
tokenized_pedal3,tokens,35,6172,0.002065171346985593
tokenized_pedal3,tokens,36,7054,0.002360291426059036
tokenized_pedal3,tokens,37,6945,0.002323819670255175
tokenized_pedal3,tokens,38,6901,0.0023090971266279286
tokenized_pedal3,tokens,39,7194,0.0024071358830548206
tokenized_pedal3,tokens,40,7839,0.002622954988499686
tokenized_pedal3,tokens,41,7965,0.002665114999795892
